,Recent headlines and conversations for SBUX,Polarity
4088,"Starbutts, Starsucks, etc... Why are they even bringing these into play? They had a good thing going & somehow managed to fumble the ball going over the goal line. Cleanliness matters. At least I think it does. Maybe that'll be proven wrong. Maybe people are so addicted to the juice that it won't pull them out of line if someone winds up taking a dump in the corner. And if someone does start to take a dump in the corner, how does the Starbucks staff respond?? If they call the police, they'll be blasted for insensitivity. If they don't call the police, they'll have lost all control. So they are in a tough spot right now by trying to please everyone. Maybe they should follow the gas station routine wher they chain the key to a tire rim & you have to ask the cashier for it.",0.6695
4089,Is the loyalty to the Company or the high caffeine ?,0.6625
4090,"I understand that $EXAS will enter into a joint venture with $SBUX where testers can come in, get a cup of swill, and dump in a bag so it can be tested. Coffee that is  followed by a  in a bag. Synergy.",0.3074
4091,I wonder what HS thinks of Trump now with the new tax plan. Nothing out of that Liberals mouth,0.4553
4092,$63.49$63.49$63.49$63.49$63.49$63.49He he he,0.2374
4093,"Hated the political pontificating by the former Starbucks CEO who inappropriately used this publicly owned company as his personal soapbox to promote his own virtue signaling and so, I never invested my money in the company. Now that the loser is gone and the tank of the PPS (due to the pandemic) presented an opportunity, I was reminded of the comment the Roman emperor Vespasian once made to his son, Titus (who complained that he was making money off of taxing urine): ""The Smell of Money is Always Sweet"". And so, I bought several thousand shares in the $68 range last March. Still brew my own coffee for but more than happy to profit from others who believe they are promoting social justice by drinking Starbucks brews.",0.9576
4094,"Listen I wouldn’t hold this for a long especially when Starbucks announces that they pay for employees college, where do u think they will get the money to pay for colleges of the dum millennials? They will use some share money from investors and this will drop down soon..",0.4546
4095,Awesome day,0.6455
4096,time to increase the dividend!,0.4802
4097,This stock will be in the 40s next week,0.1088
4098,man what a green run? mkt imbalance on sbux?,-0.0977
4099,"If SBUX goes under $50.00 watch out below, mid 40's are in sight.",-0.114
4100,Getting ready to take a dump and get profits!,0.5018
4101,still got chance to buy.. closing 53.70,0.0382
4102,I have decided to short them....too much expensive right now. fair value around 60usd and potential upside within 12 months around 70usd. At 64usd dont see much space honestly and hope to make money shorting them (after i have lost lots of money cause i was long on apple). Never i have made 2 mistakes at same time !,0.8525
4103,What % of baristas at $SBUX are transgender?,0.0191
4104,Nitro cold brew is awesome,0.5857
4105,Can the CEO of Starbucks please invest in HIKU Brands! #canopygrowth,0.5337
4106,Is Howard Schortz telling us to short SBUX?,-0.0195
4107,48 - buy here then more and it drops,0.0875
4108,Show up at the shop today. I'm bringing a couple of folks.10 am,0.5606
4109,https://www.reuters.com/article/us-luckincoffee-ipo/starbucks-china-challenger-luckin-to-raise-up-to-800-million-in-u-s-ipo-sources-idUSKCN1RY1A5,0.0
4110,OH the humanity Trump supporters stop buying Starbucks and price goes up remaining customers love the new ambiance.,0.8208
4111,margin call coming look at 20dollar bellows,0.0354
4112,I don't understand why this stock is down today?,-0.0926
4113,I just hope the dirty needles don’t wind up in the espresso machine,0.3815
4114,first thing to look for coffee,-0.0073
4115,"Some 4000 Starbucks in China compared to 10,000 in USA.Think the trade war will Not hurt SBUX? Consumers in China are rallying to ""Buy Chinese"", especially non American.",-0.5994
4116,Who’s joe,0.5853
4117,"Im just waiting for the pullback to get in. Ill be patient. Solid company the coffee is way overpriced and every one are such fools to keep buying including my gf, so i decided to capitalize on all the coffee my gf buys over there.",0.7021
4118,Going up from here,0.2012
4119,I am sooo glad I did not buy lukin coffee! I had some for a while but sold it before the big fall. Very depressing comments section for that stock. SBUX is a GREAT stock to own. It is sooo safe! I dodged a bullet.,0.9483
4120,"bulls turn tommorow 16$ here we come , soany upgrades today upto 134$",-0.222
4121,SBUX bathhouse and coffee.,0.0637
4122,"My doctor told me it was time to do a deep cleanse. I told him I live near a $SBUX. He said he wanted bad stuff coming out of me, not going in. Makes sense.",-0.0062
4123,"Stopped going, I wanted to make sure there was room for the homeless.",0.2879
4124,Starbucks Shares Gain as Investor Day Highlights China Growth Ambitions https://www.thestreet.com/investing/stocks/starbucks-shares-gain-as-investor-day-highlights-china-growth-ambitions-14810467,0.8627
4125,starbucks junior LK,-0.0204
4126,I'm sticking with this stock. management team has become more accountable and buttoned up. less senseless spending and more accountability from what I'm hearing. I'm long for now.,0.8716
4127,Ready to go,0.3565
4128,I have spent $150 less at Starbucks since comrade Schultz penned his maifesto Mein Kaffe.$1 for a large McDonald's is the way to goShorting here as same store sales will be down highly.,-0.3032
4129,What happens to Starbuck latte and mocha can at Costco? they no longer carry the drink?,-0.3103
4130,"no wonder same store sales are down, they still won't let people in the stores that I use.too liberal",-0.4954
4131,I think I should buy in tomorrow,0.1816
4132,"Price Earning Ratio of 23. Most Starbucks all over the world are closed. Presently, there is hope, less people get infected, because they stay at home. What will happen when the economy opens slowly up again? Dr. Fauci said until there is a vaccine, there is no back to normal, back to how life was before the virus. How can the recent increase from 50$ back up to today's 70$ be justified?",0.9511
4133,SHORT IT HERE BUY IT CHEAPE LATER,-0.3173
4134,"Just my opinion, but since Starbucks implemented the mobile rewards program, I've seen more and more customers use it and redeem rewards regularly while more people learn about it. Although Starbucks doesn't need much assistance to attract customers, the amount of daily consumers increased exponentially solely because of this app.",0.9677
4135,Pure speculation that SBUX will take market share from competitors and people will flock back in droves. 300 mil in cash helps but this is a $60 stock,0.6782
4136,Who is going to spend on a $6 coffee when they are in the food bank line? The analysts are living in their ivory towers thinks American will splurge for a small luxury. Are you kidding? People are reusing the tea bags.,0.4224
4137,Hows Sargent Schulz politics working out.,0.1456
4138,I have a feeling that SBUX stock holders are seeing the share price go through another period that we had during 2017- 2019 when it did nothing but go sideways. I doubt we will see $80 for a year or more if then.,-0.1065
4139,"Oh Howard when people have to wait longer in the drive thru thats not good for climate change, and you just made a lot more people choose drive thru.",0.9197
4140,"Oh boy, this has alot to fall...................",0.3968
4141,starsucks creamer recommended this,0.2236
4142,SBUX is worldwide & in every major city / airport I travel through there are always people waiting in line to buy the coffee & other BS they are selling. I'm still buying the stock,0.7799
4143,How does a stock like SBUX trades 27 times forward earnings ? SBUX will come down to $45.00 VERY SOON,0.4891
4144,"SBUX will return and the only difference is , no dead beats hanging out for free. This is a business not a social club. They will come back like CMG",-0.2576
4145,#boycottstarbucks that is supporting the black supremacist hate group against all white people.Remember to tell your friends to stop supporting hate groups like BLM. Don't buy from Starbucks.,0.0619
4146,Looks like $80,0.3612
4147,long line of cars again today at my neighborhood Starbucks,0.6787
4148,https://www.cnbc.com/2020/01/17/luckin-coffee-is-a-stronger-growth-stock-than-starbucks-trader.html,0.0
4149,SBUX my fav stock. While rest of the market is trying to figure out where it wants to go. SBUX just goes up up and up.,0.9432
4150,where is our dividend?? it thought it's 22nd?,0.2423
4151,Hey Kenneth Charles. What's the capital of Israel son?,0.2958
4152,Too high valuations,0.2752
4153,Sbux now taking it mall owners by not paying them and requiring reduced rent. Sent a letter to all mall owners to demand rent relief. That is class move right away. Must not be able to pay rent.,0.7739
4154,"used to be a loyal Starbucks customer. Read Howard's book, liked the company, but now I will take my business elsewhere. I called SBUX customer service and expressed my feelings. She was very polite, but seemed unconcerned. I have now found some new local coffee roasters as well as tons online to order from. Never would have found them if not Howard foray into politics haha. Finding new coffee gems and saving money, Thanks Howard ! :)",0.9902
