,Recent headlines and conversations for LOW,Polarity
2187,"also... as a former PSI for Lowes, I just recieved my third class action lawsuit check from a case raised in California for working 60 hrs a week with no overtime pay simply because Lowes decided they didn't need to follow the laws. they put you on salary and demanded you close X number of remodel jobs a week ... sometimes covering two store locations... 60 hrs was the norm... each check was between 2000 and 4000 for all PSI who just joined the suit. the management just abused their productive staff regularly ...for hourly staff, your reward for doing a great job was more pressure to handle more without any pay for additional performance - some folk punched out but would stay to catch up off the clock. moral among store employees is very low - which means customers get poor service. Bye Bye to Lowes - what a shame.",-0.8153
2188,Not sure we’re this stock is going,0.5149
2189,Wow! Down over $9 this morning. #$%$ Just a sell off for people to rotate into travel stocks and things to go up after pandemic? I don't see any bad news.,0.8282
2190,"Lowes lied about earnings, that's why they where laying off workers. I know cause I worked there and it was going down hill fast, as and operators where talking about bad are and cutbacks at all stores.",-0.7177
2191,Just horrible. They missed bad. Wow!!,-0.6598
2192,I'm long LOW.....with the really good HD earnings and the solid runup this am....could LOW's earnings for tomorrow be baked in already? Seems to be some profit taking after running up to $164.,0.9141
2193,"Buying the dip. This should be at 200 by the end of the year. A fearful market is one where you buy, and LOW being down on COVID fears makes no sense as more people being at home will mean more home improvement projects. Too easy. Be greedy when Mr. Market is fearful and don't listen to the shorts' songs of doom.",-0.6181
2194,Is it me or do all the posts that bag on Lowe's sound like they are just coming from disgruntled or ex employees?,0.5569
2195,DOWNSIDE ABOUT SHOOT DOWN WATCH AND SEE,-0.5279
2196,It will go below 100!https://finance.yahoo.com/news/lowes-reports-q1-2019-results-100506923.html,-0.3486
2197,"Hackerman is selling calls, buying puts and will slowly sell it back to mid 80's, and then rinse and repeat. Hackerman was buying over last few months and spent most of the time in the mid to low 80's, you can only guess that he is booking some profits. Right? Selling into this funny pop.",0.893
2198,"Why can't lowes give it's full time employees Set hrs.If you have been full time for at least a yr, you should be able to get set hrs. Changing hrs every single day is exhausting & you won't keep good people.",0.6466
2199,I will stop shopping at lowes after several failed attempts at buying large items and not getting them delivered correctly and having to wait a lot longer and lack of customer service...they would be easy to put out of business...if another competitor arrived on the market...,-0.0141
2200,LOW reached a new All Time High at 94.50,-0.0428
2201,Markets one big joke here. Thousands of points over priced DJI / NASDAQ S&P,0.4217
2202,We're at the stage where fools are piling in. The rally is about to exhaust itself. The cup and handle rally is just about done. Sell.,-0.5823
2203,"The ""trade war"" is only an issue now because the previous FIVE (at least) administrations did nothing about it. MAGA and ignore the short term pain.",-0.8971
2204,"Lowe’s shares were under pressure on Wednesday following mixed third-quarter results. The company reported earnings that came in just shy of analysts’ estimates, and provided a muted outlook. Revenues came in higher than expected, with U.S. comparable sales up 30.4% and online sales increasing by more than 100%.And down 8% today. Must be because I bought some expecting good earnings.",0.7775
2205,"LOW is returning to the FV zone with the drop this morning. The 5yr. blended P/E avg. I use (3 prior yr. and 2 fwd yr. estimates) is 19.6. This is even consistent with LOW 20 year P/E avg. of ~20. @$150/below, the P/E would be ~18... in the FV range. Think I'll add a few shares <150..",-0.4116
2206,DSC selling mops like crazy. LOW up $1.51 !!!!,-0.5076
2207,Need to check their reviews!!!!!!!~ 1.5 / 5Their 800-445-4697 is NEVER answered. Tried 5 times now and on hold over an hour each time then dropped.. 3x on 5/13 and 2x on 5x20.Even BBB has MAJOR complaints on their website.,-0.3757
2208,"On August 18, 2017, Lowe's Board of Directors declared a quarterly cash dividend of $0.41 per share, payable November 08, 2017, to shareholders of record as of October 25, 2017.Lowe's indicated dividend represents a yield of 2.3%, which is substantially higher compared to the average dividend yield of 1.92% for the Services sector. The Company has raised dividends on its common stock for fifty-four consecutive years.",0.8892
2209,"The reason this wont go up is cause of high selling, stop selling.",-0.2081
2210,"This is a company that is now testing in some of its stores a new employee scheduling system that is being sold to so called ""valued"" employees as more ""work-life balanced"". At LOWES this means that part-time workers will now be able to work a maximum of 25 hrs. per week with ZERO hours guaranteed based on one's availability. What many of you may not know is that quite a few stores survive based on part-timers working full time hours. If you thought service was lacking before, guess what, it's probably not getting better when you add that full-timers are now being asked to sacrifice the one weekend off per month they do get, for one weekend off every 8 weeks. That's six weekends A YEAR a single mother will be able to spend with her kids. How's that for work-life balance? The new system is a software program designed to make schedules based on an algorithm and not the facts on the ground. I digress. Long story short, morale is in the toilet. Everyone thinks the new CEO and his cronies are there to purposely tank the company, a suggestion that is not far fetched when looking at his track record especially given what happened JC Penney. The market will probably pull this company along, but as Warren Buffet once said; ""You can always tell who's swimming naked when the tide rolls out.""",0.9449
2211,"LOW is back knocking on the triple digit price, Reliabilt front door again. lol",0.2063
2212,Great company.,0.6498
2213,"I feel this company on last breath . Don't laugh. Just like Bed, bath & Beyond...",-0.7137
2214,"Most college students are idiots.If you pay thousands of dollars for a class , your an idiot. Schools are profit making institutions. Guys its a scam, it was a scam when I graduated in 91.",-0.8163
2215,I bet everyone here was on short side.....Sorry for you guys,-0.3541
2216,KKEEP IT SHORT KEEP IT DOWN LET ME COVER AT LOWEST PRICE THAN KU,-0.6689
2217,All the upgrades and analysts buzz about this company and they #$%$ the bed with last quarter's earnings. No excuse to miss eps estimates by 15 percent. Shamefull.,-0.1729
2218,"120, 121 WONT GET THERE TODAY TRUST ME",0.2153
2219,LOW RSI at 79 OVERBOUGHT trading above top Bollinger. Proceed with caution.,0.7061
2220,THE BALOON POPPED LOL,0.4097
2221,"I bet this quarters numbers are going to be amazing! Between everyone being home avoiding Covid and doing all kinds of projects around the house, and the boost from the hurricane damage repairs underway. This is just down a little because the overall market is down, but this is undervalued right now. I think we will begin the climb back up here soon. GLTA!",0.8875
2222,THIS IS RESISTENCE LINE IM COVERING HERE,0.1502
2223,10K INCREMENTS A T A TIME HERE IT GOES,-0.0163
2224,"Lowes hire clean up pplLow wants you to do a Molly Maid after selling for 7 hours.Oh, and watch training videos, take care of order management, call Commercial customers, visit job sites, follow shoplifters, sweep floors, babysit abandoned children, do installs, solve install problems, pull install orders, pull Special orders and Pick-up for all departments, including your own, listen to managers tell you to be happy you still have a job and that there are 10 other people waiting for yours, cover other departments lunch breaks, listen to vendors babble, wait for slow terminals and slower iPhones, move 20 pallets of merchandise out of the way of the one piece you need for your customer, lift refrigerators into BIG FOOT MONSTER TRUCKS alone, try to explain why you no longer carry whatever it was the customer is sure you carry because they bought it in your store three years before your store actually opened, try to explain the idea of ATGstores to someone who doesn't own a computer, explain MyLowes card program to the same customer, try to explain why you have no record of the customer's purchase from 5 years ago. . .all before lunch!",0.9873
2225,"Up >15% in 10 trading days since last buy. That's ~ 390%APY, lol... Not too shabby...",0.4216
2226,"Had a paint project. Went to Lowes and they directed me to the aisle for supplies. Annoyed at the lack of help, went to Home Depot and they personally filled my cart with what I needed. Lowes is dead to me!",-0.5906
2227,"My thought is a up today, flat Thursday and back to reality on Friday.",0.1691
2228,does trade war effect this stock?,-0.3703
