,Recent headlines and conversations for CMCSA,Polarity
1949,"Anyone remember Willie, Say Hey Kid, Mays ?He was the great athlete who years ago, upon retirement,said something about gambling. And shortly thereafter,in an effort to give the game honesty, and integrity,and keep the game a game the whole family could watch,he had been given a lifetime ban from baseball.So now we have Kaepernick. An aging, 2nd tier quarterback,who says we have to do something about rogue cops.And he is right. But he should open his big mouth on his own time,and not take a family past time, and turn it into hate mongeringand race mongering, and Police mongering..Did you notice, the only good that will come of this, is after herealized no one might ever want him to play, he said he wouldactually donate some of is own money.Like Hillary, and wealth redistribution, she shouldn't ask for our money,until she gives away hers.Sadly, he says nothing about the multitudes of people shot by thugsin places like Chicago. If you want to fix society, fix the places where the greatest number ofdeaths are. Its not those shot by rogue cops. And just because someone is unarmed, doesn't mean the cop was rogue, or the thugdidn't deserve it.Perhaps Kaepernick could take a week in the summer, and ride with the Police, and put handcuffs on a couple of dozen thugs, and seehow things go down.",0.9942
1950,"Philadelphia, the city of brotherly love. They've gone from being a sanctuary city, to being totally anti American. Today, on WXPN, a station broadcast from an American College, Helen Light plays a cool sounding song. Moments later the singer is going ""only American citizens can have heart shaped jacussies, etc etc etc."" The group was The Tubes, or something like that.Apparently, its ok if you live in Sweden or China, and have a jacuzzi, but if you are an American citizen, and have one, you are deplorable. Apparently we are shameful because we want to share our wealth equally, not just to countries to bribe our politicians. WXPN had several anti Christian songs on, during the holidays, and broadcasts ads to help stop islamophobia, while I've never heard an ad for people to attend Christianityphobe classes. Helen, you, your station, and your city suck. I'm hoping Philly does break away from the rest of the State, so we don't have to pay for your anti American, and western religion hatred.",0.9817
1951,Happy Holidays.,0.743
1952,"Beyoncé is part of the anti establishment movement.But its not hippies and burnouts any more. Its the middle east.Remember when she played before sell out crowds in Libya ?Anyway, during her protest of the Police who protect the innocent, on MTV,she had widows of people who were slain, that got shot while resisting arrest.Sadly, she didn't have any widows or daughters of the Police who were shot,who were trying to save us. Sadly, she is a millionaire, and hasn't done a thing to helpeducate, or give a job to a poor inner city Black.She thinks that by putting down the Police, the inner city problem will get better.She is horribly naïve and ignorant.She should tell people to slowly raise their hands, and lay down, and followthe Officers instructions.Her petty disrespect of the people we hire to protect us isn't helping anything,but showing how ignorant some people are.",0.756
1953,"NBC, MSNBC, ABC, CBS, CNN why not a word about evil Billionaire and convicted Felon George Soros who paid for all The protesters the past week. Liberal bias evil fake news in bed with liberal nasty Soros. http://www.independentsentinel.com/soros-behind-56-groups-running-womens-march that left trash everywhere and trashy nasty signs",-0.9479
1954,$42 by Friday,0.0812
1955,"as a customer, this is one of the worst broadcast companies. CNBC is nothing but OP ed’s, Comcast lies to their customers and now NBC is going to take broadcast TV to subscription. To me, those seem like sound reasons to not invest",0.0164
1956,I see $35 coming,0.0519
1957,why did CMCSA jump in after hours? (excuse for me asking a actual stock question),0.4339
1958,Bought another 500 today. I’m a believer!,0.1955
1959,"Why is comcast allowing the hateful, mongering fist pump salute, used by the murderous black panthers, on the commercials comcast transmits ? Comcast should be showing public service announcements of peace and respect, it shouldnt be helping get Police officers killed.",-0.7777
1960,besides raising prices in 2019 that will escalate the cord cutting. What is this co doing to stay revelant?,-0.3927
1961,"Yesterday, Obama said Trump won the election. He said we all have to try and see if ""their way"" will work out.He said he was hopeful it would. He said this is how a democracy works.Yesterday, for the first time in a decade, Obama said something that was positive, uniting, and wasn't divisive, ignorant, or anti US. And for the first time, I agreed with what guy said. Of course had he been at the UN, he would have said something bad about our way of life, over and over. Public view, vs private view. So now you know how he can say something like that. He really doesn't mean it.",0.9522
1962,We NEED a child molester passport!! Same comment below is applicable here (Joe/Hunter).,-0.5237
1963,Mike $40.11 at 2:43pm,0.1838
1964,load em boat,0.3499
1965,Watch a real news professional make Rachel Maddow look like the fool she is. Click on link below and watch video.https://m.youtube.com/watch?v=j8913s-AT9s,0.683
1966,NBC / MSNBC is Democrat Party Fake News network. I stopped watching them & CNN.,0.1969
1967,"TWTR15:45 Twitter CEO: Seeing significant decrease in abuse »""We're seeing a…THAT'S BECAUSE TRUMP'S OUT OF THE COUNTRY!!!",-0.52
1968,"$T copying $DIS & $CMCSA by integrating channels and content/platform (h/t WSJ) is a smart move.Silos & turf wars affect companies, tech & entertainment alike, not just during integration but also day-2-day functioning",0.512
1969,Is it the Sky bid that's dragging CMCSA down.......,0.5252
1970,"How about that Trump. He's already talking to his supporters, and telling the bad ones to stop their racism. And knowing the left, it wouldn't surprise me if they weren't behind some of the incidents. Yes, even before being in office, Trump is telling people to be respectful of others, and taking the high road. Something that the lame duck who is still in office never did in 8 years, and is out golfing while several cities burn.",0.3325
1971,"Lanternfly has exploded over Pennsylvania. From what I've seen, primarily on certain types of maple trees.They seem to avoid sugar maples and mimosa, and oak. But what is the governor doing to protect our environment ? WHat is the plan to save our 43,000 acres of orchards, and our forests ? do we end up like Claifornia with huge fire threats from millions of dead trees ? The USDA has brought in 2 wasps that are a natural enemy ? TWO. Are you kidding ? And so after 20 years, we habe trilliosn of them, and they do something destructive, like ruin air cleaners on cars ? Whats the plan. Wolf has known about thsi for 2 years. Of course he doesn't like the way things are. he wants things to get bad, so people vote for change. But if they are willing to kill your job, let you suffer, let buildings burn at riots, and make you dependent on the government for everything, how much will they hurt you when they take even more power. All the pain they are inflicting now is nothing compared to how horrible things will be. Capitalism is the only govt that wants people to do what they want. Not what the government wants.",-0.9692
1972,"What a nice Christmas gift from comcast. The monthly rental on TV boxes is going up from 2.50 to 4.60. An 84% increase.The monthly charge for the remote is going from 18 cents to 40 cents. That's a 177 % increase.I'd like to see the FCC limit companies on rental fees. Like the fee should end when the price of the box has been paid.You can't get replacement boxes from outside companies for TV, like you can a modem for the internet. You have to use the high energy, hot to the touch Motorola box supplied by comcast. Remember when GM tried to force customers into buying special oil, and was told ""if you don't allow other manufacturers oils to honor warranty, you have to replace the oil for free ?"" If comcast can increase tv boxes with humongous increases, they should be forced to allow us to buy them from other sources. Happy holidays everyone.",0.9878
1973,"Soros servant Tom Wolf says its not a good idea, to have 250 people outside, in the sun, where covid lasts for all of 2 seconds. Apparently he forgot he was marching in anti Police marches several weeks ago, where they had several hundred people. We'll never forget how Tom opened up his plumbing supply business, while putting competitors and others suppliers out of business.",0.5941
