,Recent headlines and conversations for PG,Polarity
2203,"Ok, so instead of Jill-ete, a good safety razor that lasts a lot longer and doesn't cost $30 for a pack. Instead of Pampers, Huggies are just as good as Pampers, and usually a little cheaper. Instead of Bounty, Brawny is actually better buy I usually just buy generic, because a paper towel is just a friggin paper towel. Instead of Tide or Gain, not hard to pick a substitute. Instead of Crest/Oral B lots of choices. And for your health, very smart to not use fluoride, a known poison that causes health problems and lowers IQ. As for mouthwashes, Listerine is way better than Scope. I recommend a brand that is alcohol and fluoride free and won't slowly poison your family with toxic masculinity. PROCTOR AND GAMBLE DOUBLE TOPPING IN PROGRESS! CHEERS!!! Not to hard to find a substitute investment that pays 3% and doesn't poison your family and give a middle finger to Middle America!",0.9909
2204,Procter & Gamble (PG) reports earnings on 1/23/2020 and is expected to beat estimates with an Earnings Whisper number of $1.40...,0.7083
2205,86 after earnings!,-0.4223
2206,i see this on its way back up now,0.3221
2207,"Most IRA and 401k are now stuffed with all the way over priced stocks and the only safe place is now cash, The charts are telling a big drop is coming. Get to CASH before the CARSH",0.6558
2208,hurray,0.5719
2209,next stop 90.00,-0.3031
2210,When is the next x-dividend date plz tell?,0.0759
2211,"I am new to PG. I bought in about a month ago @ $138. Since then, it has been sinking like an anchor and with no good reasons, even today with a good earning report. Much regrets.",0.8724
2212,90 buy sept!,0.2005
2213,"PG STOCK = DEATH BY A 1,000 RAZOR BLADE CUTS !",-0.7527
2214,"I haven't delved deeply into PG's earnings, but I just read a S.A. piece ""I'm Seeing Green: Procter & Gamble Is Flashing ""Buy"" Signals"".""the consumer staples company recorded revenue gains of 9%""I understand that PG offers many products, but I was surprised when I read the following. Apparently the hoarding took place during the previous Q and the uber-demand subsided during the Q ending 9/30!""Procter & Gamble’s family and baby care segment (with products like Charmin toilet paper, Bounty paper products, and Pampers) was one of the company’s weaker areas (generating 4% organic sales growth for the period).""",0.975
2215,I also voted against the board. I bought this stock at $56 many years ago. Then bought again around $66. I am up $4k in about 7 years. It was between this stock and $pg. Chose wrong.,-0.017
2216,"How does the board justify giving a 25% pay raise to the CEO and his minions? I thought these guys were paid for results, Maybe the board can explain to the share holders why.",0.7942
2217,"P & g, I cannot believe you actually ran ads to celebrate china's 70 years of dictatorship and on going violation of human rights and police brutality in hk! shame on you",-0.7875
2218,107 by April,0.0141
2219,"Amazon has Diapers, Harry's has razors, oil is on a run higher and who knows what the new Federal Reserve guy will do. Its only a matter of time when common America gets a clue and when that happens, look out.",0.6828
2220,Buying this stock for short term (6 months) thanks to corona virus.,0.6778
2221,Oral B floss causing toxic chems in body. Great......,-0.7462
2222,"This is all you DODOS who did not vote for Peltz need to know: ""what do Peltz and Co. want from P&G? Well, Trian wants the share price to rise, presumably a hope shared by P&G CEO David Taylor and his team. As of this writing, PG shares have risen 8.9% this year versus a 14.4% year-to-date gain for the S&P 500. Over the five-year period the performance differential is striking, as PG shares have risen 33.6% versus a 78.7% gain for the S&P.""Stockholders LOSE and will continue to fall further and further behind with current management.",0.9716
2223,Does PnG make pig lipstick?,-0.2324
2224,I told a dem friend she had a weak mind. She told me she didn't mind and would call me in a week.,0.7167
2225,What the heck happened the last twenty minutes of trading???,0.1536
2226,They need to make a law against these people like Peltz harassing shareholders with boileroom callers night and day over and over with phone calls . As far as I am concerned both him and Elliott the way they fight proxy wars costing shareholders millions are a plague . Long term non of these breakups and shakeups create stronger businesses . In almost all of these restructurings the employee / employer relationships are hurt in experiments with the business model . Look at the Chart here for the past 2 years the new CEO has delivered but now their minus 100 million dollars if you believe Peltz because of his and those like him . The Chart says it all and so do the harassing phone calls they resort too even after being asked over and over to stop and stop sending junk mail over and over the same stuff .,-0.8602
2227,Stagflation sends PG to 140 tomorrow..But it will reach 200.. pretty soon.,0.4546
2228,Is it fair to assume the 83 PE on P&G due solely to the Gillete 8 billion write off?,0.6151
2229,Overpriced!!!,0.0
2230,"Aether 1 Bioprinter named ""Medical Device Most Likely to Change the World by 2020."" Is PG Procter and Gamble going to start using an Aether 3D bioprinter for their in house research projects? I hear PG has interesting bioprinting research going on. PG and Aether to team up?https://3dprint.com/168987/3d-printing-news-briefs-3-24-17/",0.9061
2231,"""USA never had such a useless leader in charge of a country like Trump. No one will be ranked top as worst president in our country for a looooooooooooong time.""--Silent Critic",0.0259
2232,why is this stock dropping so hard?,0.1526
2233,This is the only stock on the market that isn't going anywhere for the next 100+ years. It's the *ONLY* stock that is a generational wealth builder.,0.7853
2234,SFIO already up 10% today. They are going to be the equivalent of PG but health foods wise. Their budget already allowed for a mostly cash purchase of a company producing 10 million in product a year. Expectation is 2500% by 4th Quarter.,0.8706
2235,If P&G flops this next quarter will the hand picked board take back the 25% raise it gave the CEO and his minions after the one good quarterly report in the last decade?,0.8427
2236,"I have an acquaintance whose father started working for P&G when he graduated from high school; he stayed with them until he retired at age 65. Never got into management, just a good steady worker in the plant. BUT when he retired, he had over $1M in his retirement plan with them; he never took the dividends--just kept reinvesting for 4+ decades. His daughter, with a college degree, and grad school, had a professional job. Did her retirement picture look far better than his? Nope! She had far less than her father. That says a lot for P&G!",0.9703
2237,"Almost to the moon and back, not enough fuel...Need to find a gas station",0.588
2238,PG should drop by 79 cents today but it went up 143 cents. It doesn't add up.,0.8426
2239,2:1 stock split?,0.324
2240,"Berry your so right were I live the same goes, I hope you found a better job and Obama was a disaster, and now trump will bring us back he has already got rid obamas mistakes and will get rid of ALL of obamas ideas by years end and now VERIZION has bought YAHOO another one of obamasbuddies",0.1552
2241,Finally some strength here. Let’s get back to the 90s this year.,0.6173
2242,I’d also like to propose a corporate name change to the “Gamble” and Procter Company,0.6347
2243,Which will be a great buy on Tuesday between PG and TGT?,0.7327
2244,I can smell $80,-0.0855
2245,So funny “toxic masculinity”. Well why do you charge more for women’s products? They’re sexist against everyone.,0.6477
2246,"For 2016 shareholders dividend increase was the lowest possible, 1% Taylor salary increased 136% with 2.5 million bonus. For 2017 the shareholders received a 3% increase in dividends, nothing from the sale of over 100 brands and Taylor received a 25% increase and Mollers increase was 17% to over 8 million. If Peltz does nothing other than stop the self serving rape by these guys it would be wonderful. Hope shareholders remember what these guys pulled when we vote our shares.",0.9561
2247,Breaking through the wall on to 132,-0.2691
2248,"P&G continues to post good new,BUT has anyone data on when they have suggested a stock split!?",0.6721
2249,WOW,0.5859
2250,Was an employee with P&G since 1999 and took a transfer to a Duracell plant. Of course we were sold to Berkshire Hathaway and 3 months after the sale it was announced our plant was closing. Splitting equipment to GA and China. I sure miss how well P&G takes care of their people unlike BH. I was 5 years from retiring when the transaction went down so I am happy the way our stock is performing and one of the loudest cheerleaders for a split.,0.9618
2251,Holding strong - all good here,0.8188
2252,"Do you still have any doubts why people elected disgraceful Trump? The alternative of the leftist, feminist nonsense was far worse than the brute idiot we have now in the WH.",-0.8724
2253,Will the B.O.D. step in a some point ?,-0.1946
2254,"I have a hard time comprehending these numbers ... 632,548 and 31,071 deaths ...FEB 26 “And again, when you have 15 people, and the 15 within a couple of days is going to be down to close to zero, that's a pretty good job we've done."" — Donald TrumpFEB 28 “It’s going to disappear. One day, it’s like a miracle, it will disappear.” — Donald Trump",0.8839
