,Recent headlines and conversations for WMT,Polarity
3421,"The president proposed, and Congress recently passed, a $1.9 trillion coronavirus relief package with $650 million of that dedicated to CISA. (Cybersecurity and Infrastructure Security Agency)On April 20, the administration announced a “100-day plan aimed at protecting the electric grid against cyber attacks. The infrastructure plan also includes $100 billion for improving the power grid, some of which is expected to be used to improve cyber security.See: [JB] on cyber security after 100 days: A good start, but now comes the hard partCyber security experts weigh in on what we’ve learned about cyber security strategy in his first 100 days in office.",0.974
3422,"Total revenue was $137.7 billion, an increase of $7.4 billion,or 5.6%. Excluding currency2, total revenue would haveincreased 7.5% to reach $140.2 billion.Walmart U.S. comp sales1 increased 9.3%, led by strength ingeneral merchandise and food.Walmart U.S. eCommerce sales grew 97% with strong results across all channels.",0.8254
3423,"I guess Penynostoc shorted again. He said, ""If WMT manages to stay above 141 ""WE"" will short again"" He just doesn't listen!!!!!! He has lost money since WMT reported and he just can't get rid of tunnel vision. If he had shorted something like Etsy or Docusign he could make real money. WMT doesn't fluctuate that much. When WMT reports it could fall again since it has said it is investing this year and it has made a couple investments lately, but I am looking toward fall and the ipo of Flipkart. Every institution that has commented on Flipkart said Flipkart will be a double in what WMT paid for it.",0.8207
3424,"the basis for gains of $1 million or less, ($2.5 million per couple when combined with existing real estate exemptions) will not change..... that is stated in the American Family Plan.....and also family farms that continue as family farms will be affected...",0.6898
3425,"Who does a better job, the NRA or Planned Parenthood?",0.4578
3426,"another day here in joes socialist, violence filled america.",-0.6289
3427,"According to CNN’s Covid tracker updated hourly, the worst states for deaths per 100,000 people is:New Jersey - 269New York - 252Rhode Island - 242Massachusetts- 241I challenge anyone here to",-0.6972
3428,"When I was at WMT yesterday, they had a lot of flowers on tables as you walked in the door. I saw a news blurb on tv the other day from a florist that flowers were in short supply this year so I was glad to see WMT had quite a few. Besides the bouquets, they had orchids which seem to be popular. Mother's Day is great for flower sales.",0.8765
3429,“They just stopped giving the JNJ vax just to see what would happen.” John,0.3176
3430,This is the only stimulus bill that we need right now with our economy booming.Tell these people refusing to go back to work and looking for their free ride thru life to continue indefinitely that if they refuse to start supporting themselves again they will be getting nothing more and their free ride thru life on the backs of the US taxpayer is now over.,0.917
3431,Thank goodness we are seeing green today.,0.7245
3432,Amazon workers vote NO to unions.,-0.0258
3433,"Peny, which is a better indicator--- charts or the parking lot?",0.3989
3434,"Walmart Inc. (WMT), 10% owner, Walton Jim C, Filled Form 4, on 03/19/2021, Disposed 410,115 shares, at Price $131.54, worth $53,946,688. Follow On Instagram, money_insider_stocknewsFacebook, Earnegy InvestmentsFor Stocks Inside News and Details.",0.7771
3435,If some company has DEDICATED employee,0.6395
3436,Just sold 50K of WMT. Had it.,0.1081
3437,"Professional have determined that Trump mostly speaks on a 4th grade level, is it any wonder why Trumpers think he is a genius...",0.7453
3438,WALMART BANK AND BIG TIME INCREASE OF FOOT TRAFFIC IN WALMART BODES WELL TO WALMART INVESTORS,0.8569
3439,HR-1 counters the corruption of dark money and the rise of super Pacs which have super-charged the influence of the biggest corporations and wealthiest individuals.see: 10 Ways Citizens United Endangers Democracy,0.7277
3440,If you bought WMT & HD this morning dollar to dollar you made 20% more today in HD. Simple math 101. The digital re-rating just not happening,0.3805
3441,"Poster with fake portfolio brags about the 'millions' she makes, now pouts about paying taxes.Joe is 100% right.God Bless him.",0.4807
3442,Experts predict more Technology advances in the next 10 years then the last 100 combined! WMT can't keep up IMO,-0.242
3443,longs you are playing with fire here those stop hunters mean business,-0.275
3444,Are we in a utopian market now?Where the market goes up 500 points every single day and never goes down?,-0.1857
3445,"Well if they announce this, most likely tomorrow. This stock will go through the roof. I'm excited. js GLTA",0.8609
3446,Check out this article from USA TODAY:Watch: Shopper finds 8-foot alligator on Walmart parking lothttps://usat.ly/2IxukMB,0.7827
3447,Obviously our enemies sense weakness.,-0.7374
3448,"Sterling got 404'd so ill repost. How come XO joe has a problem with US pipelines but not RU pipelines???well ill answer that for sterling. because democrats can only steal US tax dollars for ""green projects"" and not RU taxes.",-0.905
3449,Seems to be range stuck.,-0.2898
3450,"@MacDaddy Well then, what's keeping you from discussing WMT?",0.3618
3451,Bad idea to exit the markets at all-time highs.We are going higher,-0.1095
3452,"Major cities feeling the loss of police funding as murders, other crimes soarCities such as Austin, LA, Minneapolis, NYC and Portland have shifted funds from police departments",-0.7866
3453,"Come on, the Crisis is over! Buy, buy, buy!",-0.5247
3454,"Peny, if you had bought TGT when it opened today, you would have made more in 25 min. than you have made in shorting WMT for a LONG time.",0.7841
3455,"America is opening up and it feels great. Jobs are plentiful, new businesses are opening and restaurants are humming. Glad to have a leader that get positive things done at the helm",0.9417
3456,stocks always crash following a bitcoin crash-- target date for a stock crash -- this week and next-- learn to trade or suffer,-0.5781
3457,"BELIEVE IT OR NOT IN 1971 MY GRANDFATHER WOULD LET ME DRIVE A INTERNATIONAL HARVESTER TRACTOR 4 SPEED TO BALE THE GRASS TO MAKE HAY,HE PAID ME $ 3/ HOUR.",0.8442
3458,"YES PENYSTOC YOU ARE WRONG AGAIN, NO SURPRISE TO ANYONE.",-0.0152
3459,"If you really want to make a ton of money in the stock market, simply do the exact opposite of what penystoc does.",0.5014
3460,SHEP. HERE..................... Even Jamie Dimon mentions WMT in his annual letter. All the stars are aligning for WMT.,0.614
3461,Best stock market since JFK’s first 100 days in 1961. DJT was wrong about a “bust”!!!,0.5941
3462,SHEP. HERE..................... I just bought some WMT. I haven't bought it in many many many years,0.2181
3463,I see some of the PEOPLE are still attacking Asians. I guess they are jealous that the Asians actually know how to live and to make something of their lives and don't live off SNAP and have a gazillion kids by different fathers.,-0.13
3464,"WMT about to get an extra $500B revenue from stimulus over the next few weeks. Markets are no longer forward looking. With all the retailers, markets are backward looking now. I guess WMT will jump after they announce the giant revenue boost has happened....lol.",0.684
3465,"""Things that are paid by a company with their profits are not costs"" John aka fritz",0.3642
3466,Furiously logging off and on just to leave their silly down thumb ratings.,-0.5174
3467,"Sam's was packed today. I usually can find a good parking spot, but not today. The lot was crowded. WMT also had a big crowd. Of course Penynostoc doesn't think that counts but it does.",0.4729
3468,WMT is trading at a discount and has so much growth potential. Plan to continue acquiring on those dips.,0.7582
3469,"“In the beginning of March, April, we saw a tremendous outbound migration. About over 400,000 people left Manhattan, 40% of the occupants, essentially,” Jonathan Miller, CEO of appraisal firm Miller Samuel Real Estate Appraisers & Consultants, which prepared the report for New York City residential brokerage Douglas Elliman, told Yahoo Finance. Renters in Manhattan “became first-time buyers, they lived with relatives, they rented — they did anything but come into the city,” he said. As landlords scrambled to recover losses, empty apartment listings poured on real estate sites like Zillow. In July, there were 21.6% more apartments on the market from only a month prior in June — and 121% more compared to July 2019. “Right now, we have the highest amount of vacancy in at least the 14 years of history I have on this metric in the city,” said Miller, who said that though more renters signed leases in July compared to June, there were 57% fewer leases signed than in July 2019.Low demand has driven rent prices down 7.6%",0.7902
