,Recent headlines and conversations for HD,Polarity
4372,An incredible quantity of building materials will be needed for all the 'home offices'.,0.6056
4373,It’s almost as if management is trying to force the stock down,-0.1265
4374,"HD price down here is an ""OUTRAGE""..... that is an ""OUTRAGEOUS BUYING OPPORTUNITY""LOL",-0.4058
4375,the time 1;29pm,0.0047
4376,why down?,-0.2037
4377,A new down cycle has now start never buy only sell the rips or you will get stuck holding way over priced stocks. A massive drop is coming. Make sure you have some cash to take advantage of it . The clueless are always separated from their money.,0.3487
4378,Mr. Lan. great service from delivery i got flooring out of state an shipped in 8 days. I remeber it was 6 weeks in begining. was able to speed up other trades to keep pace with flooring which is usally last trade out THANKs got to turn them to make out,0.9609
4379,Nice move up,0.591
4380,anyone not long had is foolish,0.2644
4381,Still a buy right now?,0.1878
4382,Buy Buy Buy Please don’t let this go down Thanks,0.7443
4383,HD closed above the 50 dma Friday. only 15 cents higher to close above 200 dma. if that happens it could see a new 52 week high in the low 160's,0.5931
4384,ARE WE BUILDING a GREEN CLOSING TODAY at HD HOME DEPOT and AABB Gold-backed Crypto Stock..??,0.748
4385,TRADE DEAL WITH CHINA JUST REACHED!,0.5988
4386,3% drop in premarket is hardly a drop. FED injecting Liquidity and so funds will gobble up this stock. Just you watch.,-0.2679
4387,219.90 is the base to watch...that falls at any point and look out belowwwwwwwwwwwww,0.4012
4388,Did you see this ?Can't wait to see HD earnings..http://markets.businessinsider.com/news/interestrates/U-S-Retail-Sales-Unexpectedly-Drop-0-3-In-May-1002092682,0.0118
4389,what is going on with HD?,0.1082
4390,I'm fine with HD staying cheap.Next earnings will make this get a huge jump,0.706
4391,I want to thank all the Liberals and the anti trumper's for bringing out true American investors I'm hoping the liberals do it again this is great,0.8999
4392,needs to go lower,-0.301
4393,reducing position today lost the faith,0.3716
4394,One of the BEST companies in the world........they can teach you how to have backbone too!!!!!,0.8584
4395,Recession comingGet out now.....,-0.3
4396,watch out and the share u bought 150,0.5401
4397,what's a good price to get in on HD?,0.493
4398,"https://www.fool.com/investing/2020/11/13/is-home-depot-stock-a-buy/I respectfully disagree with PT@Motley when he suggests we may be experiencing home improvement fatigue, that whatever was meant to be done has been done, and that price expectations are already baked in to #HD at current levels. Sales of new and existing single family homes are still on a tear and close to 14 year highs, inventory is at a premium in many areas at all price points. Additionally, time from pending sale(under contract)to close is usually 2-3 months, so I suggest there's still plenty of upside for #HD.",0.8941
4399,Anyone got a reason for why this is trading like this today?? And Lowes is up?,0.7017
4400,all items sold in home Depot are marked as made in China. how come it is not effected by tarriffs?,0.4604
4401,saw 200 in premarket earlier. Congrats to all.,0.5066
4402,"Jeez, Bill ... this thing has lost 13% of its value in the past two weeks. What the heck is up with that?",0.3017
4403,Whats the dividend date?,0.1186
4404,In your face R. Taking a little profit here.,-0.1239
4405,"LOL at the dude who sold his shares at 180 that he had owned from 20....This is a position you hold for life, even if you trim down your position. HD is always a good play.",0.9394
4406,"Amazon secret weapon...... Hydrogen Fuel CellsWalmart has gone $PLUG HydrogenAmazon has gone $PLUG HydrogenAnd next up $HD and many others going $PLUG FuelCellsGoogle Nikola Hydrogen TruckingIt's ALL coming to $PLUG at $1.81 today, was $11 when announced #Walmart",0.7496
4407,Everything in HD comes from China and Mexico. Tariffs will hurt big time,-0.239
4408,It looks like a double top in the recent chart. can we break above this resistance?,0.7723
4409,"Now is a time to buy more, 1000...",0.1738
4410,"Unlike when Barry was Prez, Trump brings an optimism not seen here in years. I see it everywhere I go. Barry was a do nothing Prez who only got elected because of white guilt. Home Depot will hit 186 by August!!!",0.7706
4411,total F39049032G GARBAGE STOCK DOWN HARD FOR NO REASON,-0.7247
4412,It’s a good company so just watch the charts. Formed a death cross on 11/23 which is almost always a signal of weakness to come. Wait until the charts stabilize before buying more. WAB is another one for the long haul and in the same downdraft.,0.8371
4413,My guess is that HD is due for a pullback in the short-run. if you guys have questions you should ask awe-someSTOCKS. They often respond to my emails which is helpful.,0.6829
4414,HD is going to fall for at least 5 to 7 days if you look at previous misses. LOW took HD management and is the new Home Improvement king.,0.1029
4415,"I did recommend HD at $135 to my friends, it is $155..according to chart this should pull back $150 area short term imho.. long term still looking good..I don't think management wants stock split.I always buy from home depot .I don't see many people this year shopping inside the store.. maybe they are shopping online.. lets see what the earnings will brings.",0.9458
4416,Great buying opportunity!! Wow thank u mm’s,0.9421
4417,"When it came to Home Depot's use of illegals, Bill The Excuse Machine used the lamest, oldest, tiredest excuse ever, notably that white Americans are ""too lazy to do manual labor."" Really, Bill The Excuse Machine? Truth is Americans don't want to work for what The Home Depot pays its illegal installers .... you know, the ones that Trump keeps saying he'll get rid of. Trouble is, Trump and Bernie are friends ... those illegals aren't going anywhere anytime soon, Bill The Excuse Machine.",0.2981
4418,Pedophile Jeffrey Epstein went to prison.. Why isn't Donald Trump in prison also?,-0.3867
4419,"I have owned HD for more than 30 years. The stock has been good to me because I go long on every stock I have purchased. HD does worry me in the last 6 months. I honestly see no reason for the drop in price. Five years from now I want even remember November 2018. If your a real investor, go long !",0.8404
4420,Big Business making their tax increase $,0.2097
4421,"Last 2 days RSI on the 20 day have been 80...OVERBOUGHT and being held up by computer algorithms. When they pull the rug out this will fall fast and hard like last time. Wash,rinse,repeat. 218.74 support, then 216.98, then 215.08. then 213.22",0.7711
4422,I didn't see anything in the earnings or in the cc to warrant this move today!,0.2326
4423,I went to Home Depot an hour agoThere are more employees then customers inside the store I never seen HD this empty like thatI was very surprised,0.5332
4424,Slightly disappointed in div increase. Expected 20%. Key is weather this will propel to new all-time high (207.60),0.7248
4425,I m holding good earning. I will buy more if it drops,0.6933
4426,cramer cramer cramer,0.1533
4427,Pick up some at 249 today,0.4777
4428,"Just judging by the ridiculous number of home improvement posts on FB in my town and the surrounding ones, people are spending a lot of money on home improvement or buying homes that need $100k in work. Mainly HD and Lowe's will be the beneficiaries of this. Plenty of room left to grow this year.",0.9146
4429,nobody listens.its not a joke.this is a bubble,-0.1483
4430,I am holding my position.,0.5469
4431,Devastating news for HD from WHIRLPOOL !Whirlpool Corporation (WHR)150.71-1.09 (-0.72%) At close: 4:02PM EDT138.50 -12.21 (-8.10%) <--------------- YOWSA !!,-0.5725
4432,There are more dumbest things to come. the big boys will try to flush the week hand s when it's get below 152,-0.2315
4433,With the low interest rates and consumer confidence still high home depot should do well and be the stock to own next few months!,0.912
4434,HD is up premarket. That's a very good sign.,0.6528
4435,As soon as 220.12 hits the short fest begins,-0.4828
4436,Nomura maintains HD As a BUY and 204.00 price target...,0.3235
4437,best time to be out of the market is right before 48 percent capital gains taxes are imposed to pay for the green new deal. keep your eyes and ears wide open. yesterday the administration wiped out 51000 jobs with a stroke of a pen.,0.8536
4438,what is going with HD ???? Made almost 100 but now lost principle 60.... will go Down More ????? Gosh !!,-0.761
4439,outstanding gains today coming back to highs and passing on next quarterly results after being bashed this quarter long hold strong,0.9235
4440,"Wait for June's inflation numbers to surface. the FOMC will have no choice, but to raise interest rates. June's inflation figure will be the worst in 50 years.",-0.4056
4441,Presidential and Congress Super PAC $ narratives and agendas,0.5468
4442,"This might has room to evaporate, wait till 190",-0.0019
4443,HD Q1 warning imminent ? Comparable are way too high may miss estimates. That would take stock down to $135,-0.0847
4444,"https://finance.yahoo.com/m/5323a762-f478-3459-a613-73eae6cb9122/home-depot-reports-earnings.htmlAs a day trader and portfolio manager, I am conflicted by today's price action. Don't love today's sugar rush in advance of earnings, but weekly (and more recently daily) new highs with serious volume continues to confirm investors are dedicated to the quality HD represents. One view on a split-increases float, boosts institutional ownership and potentially provides further price stability. Looks like current institutional ownership is below 50%.",0.9627
