,Recent headlines and conversations for ADBE,Polarity
1919,Beat ..when market goes green see a rally,0.1353
1920,Cramer interview with ADBE CEO was enlightening. This company is killing it and dumb money dumped AH’s. Can’t fix stupid.,-0.8263
1921,ADBE will be above 500 tmr!,0.4085
1922,New high reached! Congrats fellow longs who have stayed the course over the past couple months. cheers!,0.9261
1923,Adobe's on sale folks,0.1606
1924,$ADBE Maintains Credit Suisse Outperform USD 560 » USD 575 Target Raised by RBC Capital Outperform USD 570 » USD 575 Target Raised by BMO Capital Markets Positive » Outperform USD 560 » USD 570 Initiated by Oppenheimer Holdings Buy USD 550,-0.2116
1925,3rd day RED...,0.0447
1926,Earnings pop,0.1728
1927,Earnings were good but not stellar plus the stock ran up 25 points in the last week. Good Luck longs. I am long to but I will sell in the am and buy back at a low price.,0.9707
1928,I love you all. God bless you my Adobians,0.8678
1929,how hard will this fall,-0.3819
1930,$ADBE Maintains Morgan Stanley Overweight USD 560 » USD 575,-0.6074
1931,"I am probably longer on this stock than anyone else on this board. I bought at single digits, when earnings were reported in millions and not billions. At that time, cost were a mere fraction of revenues and we receives a small but fair dividend. In 2005 they gave us a 2 for 1 split and ceased the dividend. I was not unhappy because this was supposed to offer greater growth and benefit to us. After years and years of up and down and frustration, it did in deed take off. My only concern is that I am now in retirement and all I hear about this companies operations is how well they treat their employees. Free health care, child care, cafeterias, workout rooms, sponsored vacations, time off for pregnancies and after delivery, newer and more expensive buildings, free free free. When it was announced that they would receive around 600 million in offshore income at lower tax rates, the CEO said that a lot of that would go to the share holders, either in a dividend or a stock buy back. A mere 8 million allocated to SBB, #$%$. I believe that the stock holders should demand a dividend, equivalent to the same percentage of all paid benefits to average earnings of all non exec employees. I also don't understand the soon to be billion dollars a year in R and D when almost all of their advances are from purchasing other concerns. I am still not unhappy with Adobe, it bought my retirement home, but I feel it is time they start thinking about their shareholders, as well as their employees.",0.9974
1932,"Bought December 15th, 170 call option on this pull back. This horse goes higher long term.",0.7166
1933,"ADBE appears to be one of the safer bets in a Tech rebound, which is what we’re about to see.",0.6734
1934,Whole system one big joke. Blame fed with stupid rate cuts once again. Screw savers to try to push them into stock markets again. 2008 era all over again. Corruption period.,-0.7204
1935,"forget working and catching covid19, losers game. Play the stock market and enjoy free ride thanks to feds money printing from thin air, only idiotas go to work now",0.9132
1936,Way to bring the whole cloud sector down ADBE,-0.3213
1937,Nasty beat!! Thanks Cramer,0.225
1938,"UP, UP, AND AWAY!!! GO ADBE GO!!!",0.5636
1939,ADBE reached an all time high at 286.46,0.3228
1940,Etrade and my other broker have it regular price 282,0.1737
1941,what is driving down adobe in a big up market? Insider selling?,0.2026
1942,this down turn a great buying opportunity....complete magneto..so 265 to 270 range,0.6251
1943,"Earnings today, conference call tomorrow",0.6172
1944,Once it breaks $245 boom!,0.2068
1945,Founder is resigning from board - retired long ago. VERY SUCCESSFULLY HAND PICKED CEO and MGT quite capable of continuing the show - was they have been for past few years and 100% revenue and price appreciation. No worries - steady as she goes.,0.9631
1946,Cramer previews Wall Street news for the trading week of Sept. 14.He sayed adobe and fedex will have a blowout in earnings and a great upside potential this week. https://www.youtube.com/watch?v=OhfTB0aGsT0 Go see!! Sky soon!!,0.9425
1947,"hopefully this is a shake out, but its now in a clear downtrend for the last 6 months",0.1713
1948,What a disaster. Even Cramer was saying ADBE would have a blow-out quarter. I guess it is not enough. There are different degrees of blow-out. This is not one of them. I think the market is moving into a very tight place.Even good earnings are not enough.,0.7688
1949,not even 5% up,0.2099
1950,"stupid decision , i wil never buy this again",-0.2421
1951,Love this stock. Great steady growth,0.9448
1952,SELL NOTHING TODAY MY FRIENDS,0.6447
1953,@satnam speak with greater confidence when the earnings report is ACTUALLY OUT,0.8775
1954,Adobe CEO is on Mad Money in a few minutes. Expecting a bump with that and then people trying to buy in at a value buy tomorrow,0.2849
1955,What a scam job. Pat on the back to the option trader who got shareholders to back his position.,-0.1553
1956,if the price breaks below 464 I'll wait till the 200 day MA to add more though,-0.2101
1957,earning is before or after market?,-0.0718
1958,we gucciAdobe Systems Is Maintained at Buy by CitigroupAdobe Systems Is Maintained at Buy by Stifel NicolausAdobe Systems Is Maintained at Overweight by KeyBanc,0.1691
1959,BRUTAL,-0.6249
1960,Adobe repurchased 2.5 million shares this quarter !!! Thanks God !,0.8283
1961,"Last chance to sell above 250, for a long time.",0.7569
1962,Holding through this.,0.3839
1963,U should be selling every fakePop,0.0254
1964,this stock always goes up in a good market but it is choppy,0.4972
1965,Raised guidance and flat? I'm adding,-0.016
1966,Be prepare for a boost after major announcements in next week Max conference. Right time to buy for short term gains as well.,0.7079
1967,"I am thinking that perhaps it is time for ADBE to start paying a dividend. The company is grown up now, good acquisitions come at a heavy price so stay away from bidding wars. Time to start spreading the wealth back to the stockholders. Paying a dividend would also attract more investors and contribute to a stabilization of the share price.",0.9364
1968,It red who did not listen to sell before the earning report,0.2017
1969,GO ADBE GO!!! THE BULLS ARE BACK IN TOWN!!!,-0.325
1970,Sell Short,-0.4372
1971,"JD, the $350-355 mark is a mere 7-8% and within the next couple weeks, that’s where the 50DMA will be. I expect the overall market to pull back 5% as the Nasdaq is overbought at an RSI of 72 as well as the S&P. ADBE would surely come back to that area in this scenario. When Microsoft got to $191 the other day with an RSI of 80, it pulled back to $181xx for a quick 5% retreat because it was overbought. You don’t think this is t going to happen to ADBE sooner than later? I don’t care what stock it is, when the RSI is at 80 it’s extremely overbought.",0.9782
1972,"The Data shows that the US economy is slowing down, GDP growth is going to turn to negative. As you've seen in the latest quarter, US corporate earnings are declining. Meanwhile US national Debt is hitting 22T new all time highs every day. However US Stock prices keep getting pumped since 2008 non-stop only because of Quantitative Easing. People started to see US Stock Market as Free source of money! US Stock prices went up parabolically, but the problem is NOW US STOCK PRICES HAVE PEAKED! US market is INSANELY OVERVALUED and OVERBOUGHT! Valuations are ABSURD and US market is trading as Pyramid Scheme! 99.99% of all publicly trading US companies do not make money! Stock buyers aka Gamblers are buying extremely overvalued US stocks at PEAKED prices to GAMBLE. People forgot what happened to PEAK buyers in 2000 and 2008! Stock Buyers will LOSE EVERYTHING again! Some of the buyers haven't seen RECESSION and they think stock prices will keep going up forever. Upcoming RECESSION will be a good lesson for stock GAMBLERS! $AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BABA $BA $NKE $PFE $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $T $GM $TWLO $CRM $ADBE $TWTR MEANWHILE Trade Wars are deepening! China will DESTROY US Companies! DO NOT GET TRAPPED IN US STOCK BUBBLE!!!!",0.7625
1973,Here comes $ 330!!! GO ADBE GO!!!,-0.5883
1974,If we just hold above the 200 dma today I will be happy,0.759
1975,Adobe is a beast! Proud shareholder and user of their products.,0.758
1976,Adobe is a #$%$ as a company. Run by multi-level structures of Inidan relatives and friends. Very slow. Development of a trivial thing costs weeks of dozens of people to waste time on the meetings.,0.2205
1977,BIG MISS FOR YOU STUPID LONGS APPEARING IN A FEW MINUTES AS THIS GETS SLAMMED DOWN TO BELOW 400. GLAD I SHORTED MY 500 SHARES FROM 495. ENJOY THIS BIG DROP LOSERS.,0.6944
1978,Magento will fall flat against Shopify. Nobody know about Magento. Lousy name for any eShop platform.,-0.6785
1979,Head and shoulders top in ADBE lately.,0.2387
1980,I don't like ADBE: an old stock!,-0.1626
1981,We are down bcuz of that option trader! Tomorrow every thing will be back normal and the stock will be $500+,0.2244
1982,Back to $200 this is over-extended.,0.0757
1983,Technical dip this is a bullish sign,0.5708
1984,"Dominant market share, xlnt mngt, drama free, a little pricey, picked up 50 shares today on general principle.",0.9138
1985,Look for 243,-0.0577
1986,ADBE is grossly undervalued by market players.It will break out 3 weeks tight pattern!,-0.2487
1987,I warned u,-0.2732
1988,to the MOON,0.2714
1989,ADBE reached a new All Time High at 237.40,0.3954
1990,"Every pop is followed by a sell-off. I like strong stocks on weak days, not weak stocks on strong days. I'm out. This stock should have done what $ADBE did today. But it failed.",-0.1571
1991,"Too many bullish people today, this is telling me that the stock will go down big after earning",0.244
1992,"saw there was a big amount at 4pm size 347,258 at $476. was that a sell or buy order? anyone know?",0.75
1993,It will probably 500+ in 30 min,-0.1646
1994,Up 10 tomorrow on huge volume.,0.5838
1995,I feel 300 around the corner. It is hovering here at this price from the last qtr. people waited how the merger acquisition will come out. They look like they are on all cylinders. Look at the digital advertisement business it is firing up. The 100b opportunity around here.300 around the corner.,0.6026
