,Recent headlines and conversations for KHC,Polarity
3782,Ok folks... now for sure we know it’s bottom. Cramer bashing the stock after it dropped 30% the last two days. Lol  I guess that is our sign to buy it heavy !!,0.751
3783,I think Im buying this dip,0.6005
3784,"Bought another 5,000 shares on margin, no guts no glory !! It will be around $40.50 - $42.00 in days. Great dividend coming very soon.",0.7914
3785,Beat earnings due to early Easter.You may not hear that any where else.Final low I don't think is in.But we are very close.Looking for a $52.XX print.,0.2891
3786,https://www.marketwatch.com/press-release/krupa-global-investments-urges-buffett-to-intervene-immediately-at-kraft-heinz-demands-special-meeting-of-stockholders-2019-02-25,0.0
3787,"Kraft Heinz Cut to Underweight From Neutral by PiperJaffray7:05 am ET April 24, 2019 (Dow Jones) PrintKraft Heinz Cut to Underweight From Neutral by PiperJaffrayRatings actions from Benzinga: https://www.benzinga.com/stock/KHC/ratings(END) Dow Jones NewswiresApril 24, 2019 07:05 ET (11:05 GMT)DJ Kraft Heinz Price Target Cut to $31.00/Share From $35.00 by PiperJaffray",-0.695
3788,"KHC is the Phoenix rising. Out of the ashes of its past....it has been saved by COVID. Retail checks show empty shelves, Restaurants closed, and will have little attendance for the rest of this year. Eat at home up 2X....so all the grocery providers booming. KHC still below 30...should be 45 within 60 days....exciting times to own again. They are cranking out the KD ...and BBQ season is on the horizon!",0.9458
3789,Great innovative Valentine products from Kraft. I can see marketing is greatly improved hitting where the demand is..,0.8892
3790,Anyone know where I can buy some cheese?,0.2727
3791,Lots of selling by paper hands. There are not enough diamond hands in this stock for the price to steady,0.821
3792,"KHC will be insulated against a severe drop in its pps by virtue of its 6% yield. The big question facing KHC longs is, ""How safe is that dividend?"". Maybe the interest rate drop enables them to pay off debt more quickly, in which case the KHC suits might decide to hold off cutting the dividend.Or, maybe they believe they should couple low interest rates with a temporary (?) suspension of the dividend until the balance sheet is cleaned up?Beyond that, KHC's biggest problem seems to be consumers being content with paying less for store brands and off brands than paying a premium for KHC's long established name brands. The way KHC has watered down or downsized its core products over the years, it's no mystery that consumers don't see any difference. So, why pay more for a label?",-0.5109
3793,"What are you gonna do with your profits from puts or shorting khc into the next conference call?I'm looking forward to buying even more Great Value brands from walmart!!! Yep, more GV ketchup, mustard, graham crackers and at half price of similar sized KHC brands. the cabinets should be extra extra stocked after that conference call.",0.9773
3794,"It went from $25 to $29 in less than a month, quit complaining.This is normal pull back.If you bought in the $50s then good luck!",0.7532
3795,a increase in sales when restaurants around the world have been closed is impressive. I think quarter 2 will be even better with high volumes continuing and the eventual opening of restaurants mid 2nd quarter or so,0.8482
3796,$0.40 dividend every quarter.not too bad.,-0.4315
3797,Kraft will cook the books next week . Target price after earnings is 33 and higher. Not bad .,-0.5337
3798,I don’t have a position anymore but am excited to see results. Good luck KHC holders,0.9107
3799,I put my order in for 500 shares not filled yet.,0.6243
3800,"Earnings next week will be blow out positive, so get on board HKC express......Buy Buy Buy.............!!!!!",0.8474
3801,JPM downgraded KHC this morning...,-0.2291
3802,Funny watching the longs and shorts bicker back and forth. I’m on the long side,0.7667
3803,"I post a lot of negative things about KHC. I do NOT want this company to fail. I am a shareholder. I sold the majority of my position in October 2016, but I continue to hold a position. My biggest qualm with most posters on here is the ""sunshine and lollipops"" attitude when more bad things are going to happen. I hate seeing investors falling into a pit with a recovery timeframe of years. This is going lower people. The dividend will be cut again. I'm not suggesting that you never invest in KHC, I am suggesting that you delay in investing in KHC. I like a lot of the Heinz portfolio of brands. Good stuff......Kraft....not so much.",-0.3146
3804,Defensive Stock!,0.2826
3805,All this share plunge cause of write down is analytics BS. A staple is a staple is a staple. This all is being done with s view to some acquisition or buyout by someone. Buy or cry later,0.3062
3806,"Well, I'm buying today.",0.5429
3807,Thank you Dean Witter.,0.4214
3808,Such a big mistake to spin off Mondelez back then! That would be the bright spot now as mondelez had a great international presence (especially in emerging markets) and the snack business is gaining momentum despite the fact that consumers live a more health lifestyle. Hope they sell Oscar Meyer and some other brands and invest in GROWTH via marketing and R&D!,0.9735
3809,yeah baby. up to the moon,0.6479
3810,New group of negative nellies on board..been collecting huge dividend for a year and a half and account big green plus with very low average buy in..I am very comfortable in this stock going forward I’m ok if they sell everything except the ketchup and cream cheese and pay off all the debt,0.872
3811,"We will just buy more shares back with the Dividend... Stock is like the bread you buy... Do you prefer to buy your bread low or High... Revenues are safe, KHC lower his debt with a nice div... The entire market is crashing... Remember you buy a company.... KHC will still be there is 10 year, there will be a merge or the will be purchased for more than the book value...",0.8755
3812,Over $35:00 finally.,-0.0279
3813,Strong dividend,0.5898
3814,It will pop on next earning announcement without the accounting write down. Price / sales is too cheap compare to other consumer staple stocks.,0.375
3815,"You could basically draw a stock out of a hat and come out better than KHC, omg....",0.7843
3816,"We've been through a tremendous period for stocks. Ultra low interest rates (great for stocks, as companies can borrow money on the cheap to buy back shares, invest in R&D etc, & very little competition from no risk investments like CD's) Now, even through interest rates are still low, they've risen substantially over the last 1.5 years. Some say they're going much higher. I don't necessarily believe that, but I think we need to ask ourselves one question. If KHC has a 5 year return of -27.77% in a 'perfect storm' environment for stocks, what will the next 5 year return be if ratescontinue to rise and/or the economy slows ?The only bright spot is that since early 2016, I've taken all dividends in cash. 410 shares with a cost basis of $49.98",0.9494
3817,i sold some of my boat anchor stock (att) and bought some of this.,0.7465
3818,think we go under 60.,-0.0067
3819,you think warren is selling today?well... know it alls?,0.32
3820,"Good god, there's a virus and I've been living off Ketchup for 6 months. Why hasn't the stock price gone up? I've been planning on trading the ketchup bottle for lobster tails but lucks not with me today...",0.8474
3821,"The Board of Directors of The Kraft Heinz Company (KHC) declared a regular quarterly dividend of $0.625 per share of common stock payable on June 15, 2018, to stockholders of record as of May 18, 2018.",0.7943
3822,Food hoarding is beginning again. Will help make sales soar. Ride it for now.,0.7638
3823,BUFFETT.....WILL NO DOUBT BE ASKED ABOUT KHC MONDAY MORNING ON CNBC. 6AM TO 9AM...WATCH AND LEARN !!!!,0.555
3824,"Looks like the Wall Street machine is in full force trying to destroy a company and they are 100% wrong for sure. After listening to the call I think they have a great guy now running the show and will have a great plan by Jan. I also believe the people running the company that now says they have the cash flow to keep paying the dividend at this rate and will still have the money to make the changes they want and need to for the future. I guess it really boils down to do you believe in the people and company you are investing in or do you believe in some Wall Street firms that are shorting the company to make money and are wrong 100% of the time. I will be buying more , Why because times don't come around to great companies so cheap very offendUp to you what you want to do , but they said thing will be better in the 2nd 1/2 of the year. Listen to the call yourself and make up what you want to do.",0.9721
3825,Hope this doesn’t turn for few days.I want to load up more shares.,0.8145
3826,pretty much no secrets as regards AI and institution holds (more than 90%) at this writing. VOLUME indicates direction. appears a done deal. reports and data also indicate straddles among traders have increased. certainly bullish direction if you follow such nonsense.,0.8123
3827,Folks the news is getting good and the shorts will loose their shirts   .... and this is only the beginning !! Tomorrow we will see this over $34.50. Buffet and 3G have been accumulating all these days. Now they are ready to push KHC higher !!,0.7855
3828,Looking cheap,0.346
3829,could be a quick run to 35,0.2443
3830,"Sales declined partially because prices were increased and fewer promotions. This lifted operating margins. Free cash flow increased and debt was reduced. Yes there is all the healthy eating fear, but there is every likelihood the sales fall will begin to minimise, they will offload more unwanted brands and debt will come down faster. Could be interesting but obviously not without risk. Bought last time at $26 and sold at $32. Just bought back at $27.4.Worth a shot an a rinse and repeat cycle and collect some dividend in the process. Operating margins rose in their report so they are obviously getting costs under better control. Too many doomsters attached to this stock is also an interesting point.",0.7365
