,Recent headlines and conversations for PCG,Polarity
4037,"This article points out just how much a bankruptcy could effect even the very people wanting to sue for damages be it death or property or both.Bankruptcy could affect wildfire victims seeking damages because the filing triggers a stay on lawsuits against PG&E. Multiple victims of the Camp Fire have already sued PG&E alleging negligence and health and safety code violations by the utility. That comes on the heels of dozens of lawsuits related to fires in 2017.“They can ultimately have their claim determined outside of the bankruptcy court, but it still is a claim of the bankruptcy,” Felderstein said. “So if the creditors only end up getting paid a percentage of the amount they are owed, then that would affect the injured parties as well.”If wildfire victims aren’t happy with the reorganization, it could be that their claims are so large that they can veto the plan. “It isn’t for sure that they’d be able to stop a plan, but obviously there’d be a chance that they could,” Felderstein said.Michael Wara, director of the Climate and Energy Policy Program at Stanford University, says the state shouldn’t allow PG&E to go bankrupt because it would be expensive for ratepayers to pay back that debt. As it is, the utility already has sought permission from U.S. energy regulators for a 9.5 percent increase in transmission charges due to the higher risk of wildfires. PG&E says that translates to an increase of $1.50 per month for the average residential customer.“Ultimately, the customers pay,” he said.That was the case when PG&E filed for bankruptcy during California’s power crisis.Although the filing did not trigger layoffs, the AP noted that ratepayers were stuck with paying back the bills for years and years. At the time, the rehabilitation was expected to cost customers $6.2 billion to $8.2 billion in above-market prices through 2012. That worked out to about $1,300 to $1,700 per customer.Bankruptcy also makes it more difficult for the state to achieve its clean-energy goals. By 2045, the state wants 100 percent of electricity to be powered by renewable resources such as wind and solar, as well as zero-carbon energy sources such as nuclear power.PUC president Michael Picker said he can’t imagine allowing the utility to go bankrupt but he didn’t rule out the possibility of a break up. “It’s not good policy to have utilities unable to finance the services and infrastructure the state of California needs,” Picker said.",0.989
4038,"Trump will teach California that not voting for him has a cost- President Trump threatened to cut federal emergency funding for California’s firefighters in the middle of a partial government shutdown.On Wednesday morning, Trump complained that the Federal Emergency Management Agency (FEMA) sends billions of dollars to California to fight fires that are the result of poor forest management.",-0.9621
4039,"PCG is doing fine..don't let the current price scare you, just be patient",-0.0905
4040,"how is this not down. sp500 is down, nasdaq is down. Dow Jones down. this thing is up??",-0.61
4041,"I think no one is going to take over the company that easy. It is not the matter of injecting money to the company, after all the company has to be sustainable. Northern CA can't stay without electricity because the bond holders wants to take over the company. At the end no one knows better to run PCG better than PCG under the circumstance. And finally the Federal judge would not allow such deal happen even the governor agrees to the bondholders deal. This is not over yet!",0.8735
4042,The goal of share holders should be driving up the share price to reduce the share dilution due to new share offering.,0.8683
4043,The company is not for sale ,0.2269
4044,"""The Apple Fire burning in the San Bernardino Mountains north of Beaumont was sparked by a vehicle malfunction, authorities announced Monday""..so what's next, the car owner will be sued to recover tens of millions of dollars? or we agree that PCG is a milk cow for Ca",0.3522
4045,"Schwab,Vanguard, Fidelity, etc are now seeing panic. Up until today people have been relatively calm and have not hit the sell buttons.The hedge fund boys have been dumping everything possible.",0.3454
4046,FEMA wants 3.9 Billion from the 13.5 Billion the Fire victims received. and they are not happy about it. I am not sure whether Politicians are instigating this.,0.4899
4047,if you don't think the stock market is rigged.....all you have to do is look at what is going on with this stock,-0.0449
4048,At this rate I dont think Warren will be able to afford a buyout. Better hurry up buffet haha,0.903
4049,1) PG&E: Pacific Gas and Electric Co Enters Into Commitment Letter For Up to $6B Term Loan Credit Facility33 minutes ago2) Dow Jones NewswiresPG&E: Pacific Gas and Electric Co Enters Into Commitment Letter for $3.5B Revolving Credit Facility33 minutes ago Dow Jones Newswires3) PG&E: PG&E Corp. Entered into Commitment Letter for $500M Revolving Credit Facility33 minutes ago Dow Jones Newswires,0.9759
4050,"Up on 2M shares after close, something is cooking.....",0.4264
4051,"its only common sense that eventually inverse condemnation will have to be modified or replaced with something more favorable to the energy cos. if its not done, over time the utilities in cali will have to be bought out by the govt as no investors will be willing to put their capital at risk in an inverse condemnation world, without proper reward. this will be good for personal responsibility and alternative energy. the state of cali has no idea what they will be in for with govt owned power cos.. its gonna be interesting to watch..",0.6188
4052,Buy Call Options for Sept. I like $22 strikes. Cuts down on risk and you are still in the emerge from bankruptcy game.,-0.4619
4053,Back in the $10's,0.0023
4054,"Citation: The $13.5 billion trust PG&E is establishing to pay fire victims will be funded half in stock and half in cash. Protecting the value of PG&E's shares is essential to making sure fire damages are covered in full, the lawyers said.",0.1415
4055,"THERE DONE!!!!WILL BE AT $0.00 IN THE MORNING thanks all for playinghttps://finance.yahoo.com/news/gas-line-explosion-san-francisco-sets-building-fire-220107810.htmlA gas explosion in a San Francisco neighborhood shot flames into the air Wednesday and burned five buildings, sending panicked residents and workers fleeing into the streets. Utility crews put out the fire about three hours after private construction workers cut a natural gas line, igniting the towering flames, San Francisco Fire Chief Joanne Hayes-White said.",-0.3995
4056,"""Not really anyone is saying this is a bad economic resolution,"" U.S. Bankruptcy Judge Dennis Montali said at Tuesday's hearing in San Francisco, noting a dearth of strong objections.Adding momentum to PG&E's plan, a lawyer for Governor Gavin Newsom told Montali the governor viewed the wildfire settlement as fair. ""We don't want to stand in the way of that,"" said Nancy Mitchell.Only days earlier, on Friday, Newsom rejected the PG&E reorganization plan and said he expected a new board of directors and stronger finances so it could invest in safer equipment.",0.9
4057,Do you guys think that options plays this week on this stock are good like a july 17th call ?,0.8587
4058,"how is it that it declared bankruptcy , and the stock is going up ?",0.1499
4059,Lobster dinner and steak,0.0928
4060,"Everyone remembers the blowhard that repeated posted it was going to zero. I repeated said it was not. Let's not forget it was in the twenties just a few months ago. As the bad news flowed in it had a significant correction. After paying its debts and doing extreme measures to make sure there isn't another camp fire the stock is recovering. Recovering nicely. If you're unable to go through the extremes, dont invest in pcg. No pump, no bash, just facts. Period!!!",0.3278
4061,We were in the 18's when the Bondholders challenged the Debtor's plan. I now expect it to go up to 18 very very soon.,0.275
4062,"@jj its good to take profits when on doubt but this company has almost $30 billion in wildfire debt and now it's found to have falsified documents I think the worst is yet to come. Really, can any of their safety records be trusted?",-0.2656
4063,MarketEdge will upgrade PCG from neutral to long / buy tomorrow. More marque analyst upgrades on the horizon hopefully.,0.7785
4064,I hope some seniors don't lose most of their money in this supposedly safe stock.,0.9067
4065,wahoo $18,0.0
4066,"PUC president Michael Picker said he can’t imagine allowing the utility to go bankrupt but he didn’t rule out the possibility of a break up. “It’s not good policy to have utilities unable to finance the services and infrastructure the state of California needs,” Picker said",0.6827
4067,A classic Bull trap formation.Bulls will be thought a lesson Today.Count on it.,-0.4866
4068," DO NOT RECESSITATE Berkshire Hathaway is not buying PG&E, Warren Buffett saysBerkshire Hathaway is not buying PG&E, Warren Buffett told CNBC’s Becky Quick.This knocks down a report earlier Wednesday that had caused shares of the troubled utility to surge. PG&E shares jumped more than 25% after Bloomberg News circulated a report from publication SparkSpread, which apparently said the Buffett-led conglomerate was in talks to buy the utility. They were still up 3.5% shortly before Wednesday’s opening bell.Buffett, chairman and CEO of Berkshire Hathaway, told CNBC that the report was “100% not true” and that he “would know” if Berkshire Hathaway was in talks to acquire the company. PG&E declined to comment for this story.PG&E, California’s largest investor-owned utility, could face $30 billion in potential liabilities from wildfires in 2017 and 2018.The company’s share price plunged late last year as the deadliest fire in the state’s history — thought by many to be a product of PG&E equipment — ravaged the area surrounding Paradise, California. The disaster killed 86 people and destroyed about 14,000 homes. The stock sank again in January after the company announced plans to pursue Chapter 11 bankruptcy in January.",0.906
