,Recent headlines and conversations for IBM,Polarity
3189,"Long term IBM shareholders are like proverbial frog in pot of water. Conditions deteriorate just slow enough that we never jump out, till we're cooked!",0.6666
3190,Thank you $IBM management,0.5244
3191,IBM is on a roll making all the right moves good things a coming,0.1712
3192,Not much downside remaining. Seeing 164 tomorrow. First rev. growth in 22 quarters at least. http://alph.st/bfe58a01,0.2794
3193,"Biggest purchase and restructuring in IBM's history, and the street is mum? Biggest buy opportunity too, imo.",0.6864
3194,Why falling in this up market any clue?,0.0682
3195,"Beat: IBM Q3 Adj. EPS $2.58, Inline, Sales $17.56B Beat $17.54B Estimate",0.4883
3196,"IBM poured billions into watson...failing,,Poured billions into blockchain and a recent survey indicated 84% of companies dont know how they can put it in their business,,,may fail...The cloud business is loosing market share to HP, Microsoft, Oracle and others,,,How long has it been since a visionary, competent CEO was in charge? Long in the stock but Im loosing faith it will ever get back to 200. Too many layers of do nothing management, incompetent off shore resources and a #$%$ off client base.",0.9374
3197,Jims interview with IBM and Redhat CEOs was proof for me. IBM will be making new highs in 3 months.,-0.0031
3198,Going lower 132,-0.296
3199,"When does this selling exhaust itself? Earnings were good, new CEO on the way. It's like everyone who has held IBM for decades is selling the news.",0.7374
3200,"ibm is a major h1b outsourcing co. import cheap h1bs from india, replace american workers and pocket difference. anyone with 1/2 brain would not build career on ibm equipment.http://www.epi.org/blog/h-1b-visas-do-not-create-jobs-or-improve-conditions-for-u-s-workers/",0.7114
3201,IBM purchase of Red Hat is going to give shareholders a haircut today.,-0.0873
3202,we will see 135 tomorrow...there is a big buy order in place....140+ next week,0.5063
3203,Adding,0.0
3204,again IBM is down again as hedge fund continue to short it down,-0.713
3205,IBM is a $400 stock trapped in a $129 body.,-0.5025
3206,It appears someone bought over 400K shares.,0.301
3207,"Hi,I did a full video analyzing the IBM stock and wanted to know your thoughts. If you can watch it that would be great if not it's okay :) Thanks, everyone.English: https://www.youtube.com/watch?v=2LTA-GJxmx0&t=5s",0.9516
3208,"I am getting to where I hate to see a company I own beat on revenue, unbelievable.",-0.1047
3209,Time to load up the boat,0.4652
3210,We should find out this week who the mystery investor is....,0.2833
3211,100 or so seems to be support,0.396
3212,"IBM website: The benefits of blockchainBlockchain can help radically improve industries, beginning with banking and insurance. However the opportunities for blockchain go far beyond this. We predict that this technology will be used to create smart(er), more efficient systems for supply chains, Internet of Things networks, gaming, multi-media rights management, car rental, Government proof of identity (or license) creation and insurance record management.",0.9699
3213,I’m still a bull on ibm. It will finish July at $127 or higher. Stay long and be happy.,0.7805
3214,I’m supposing the purchase of Turbonomics can only improve their Cloud offering. Bit pricey though.,0.6496
3215,Looks like this stock is headed to around 120! The recent price movements suggest a very poor upcoming 2018 1st qtr results.Hope I am wrong. JMHO!Tex,0.3085
3216,"This so what good old Ginny Rometty did to this company in her 5 years as CEO. The Board ought to be fired for allowing this to happen while they were paying her $30 million a year, really sad as she is finally retired and laughing all the way to the bank..",0.6897
3217,Blockchain tech will boost IBM.,0.3337
3218,Narrow trading range but breakout coming soon 175!,0.8408
3219,"IBM is building a long and solid base of support for its next leg up.It appears to me that Buffet has been still unloading IBM stock - I cannot think of any other reason why IBM is still selling at a modest (low) PE when it has a relatively high yield and is a leader in all of the game/changing new technologies.IBM should continue to show income and revenue growth. It did not make that point in the 4Q17 report, but I believe it will prove that point when it reports 1Q18 in April.",0.8967
3220,"They buy Redhat and name it IBM, and jettison the old IBM into a ""new""co. Of course the stock price will give up all the ""deal"" announcement gains. It's only a great deal for the lawyers and c-suite.",0.915
3221,IBM should buy FSSN cloud base for much cheaper than red hat.,0.4532
3222,ibm going to rally after the bell ...that is my bet ..,-0.1169
3223,Holding 1000 calls at the moment hahahahaha,0.3801
3224,"IBM service division will be re-rated as Wipro, Cognizant and Accenture, and can growth beyond IBM boundary.",0.4949
3225,Not time to panic nearing buy time,-0.351
3226,IBM may wrap around 167 or 170 for Option Expire today,0.2933
3227,Great write-up in Forbes today. IBM has much more to offer in cloud services and security over Amazon and Microsoft.Quality of services on the cloud will give IBM far more cloud market share.,0.8167
3228,Insiders buying 114-115 GIN bought 3 million of IBM.Love it.,0.3429
3229,Feels Like earnings day.,0.4577
3230,Anyone else think that Blockchain is going to turn into something big?,0.2131
3231,"Keep talking bad about IBM!!! This is my favourite stock and the largest position that I own besides Pfizer and BP. These three stocks are like tanks, immune to the market :)",0.8763
3232,I'm curious if anything is going to hold this thing up after the dividend ex date.,0.6601
3233,"AI & Cloud rev rose 19% to 6Billion this quarter, during these pandemic covid-19 times, simply telling you there is demand for their business going forward",0.2058
3234,That a boy. Good IBM. Gud gud gud IBM. Steadily rise steady steady steady,0.944
3235,"The US economy is in the hands of the Democrats , tax spend ,regulate .no good in the long run. What is the solution for this huge debt.........either the dollar weakens yielding inflation, or money supply needs to be reduced......higher interest rates?",0.748
3236,"IBM was the worst-performing large-cap tech stock during Rometty’s tenure, dropping 24%https://www.cnbc.com/2020/01/31/ibm-was-worst-performing-large-cap-tech-stock-during-romettys-tenure.html",0.1906
3237,"they may for the moment not be the leader in the cloud or in AI, but they have solid positions and can certainly tackle the job. What they have that no other company has is the dominant position in mainframe computers. those computers have a role to play, i would not want to be a DP manager where everything is dependent on the cloud. Mainframe local is priceless and will be for a long time to come.But more than that it also provides a customer base to expand upon.People may complain about IBm's software and their personnel, but as someone who has programmed mainframes and pcs and the web, ibm mainframes seem way safer to me and easier to program and manage. Microsoft is spooky creaky and got that way right from the beginning with Gates as its founder.Not sure why that guy came to be viewed as some sort of angel. Anything but.you have the same people doing the work at all these companies, they jump about.its an intense field, where an individuals knowledge can become obsolete overnight.and people are coming and going all the time.we are becoming more dependent on Indian programmers because it is not a particularly good field to be in for americans for previously stated reasons. but all that said ibm has fantastic intellectual capital and good materials in place.",0.9959
3238,"Played golf in HI with a couple of software guys, they loved IBM's Redhat deal. Says in gives IBM a great position in the ever expanding cloud. They think it was a great hail mary pass.",0.9599
3239,to all Dividend Investors. Valueline added IBM to its div portfolio however the stock was selling off. Buffet and Ginny's plan for the future did not work now we know why. Thank god I only bought 100 shares.,0.9098
