,Recent headlines and conversations for UNH,Polarity
2375,"evidently, the market thinks that Bernie gets elected.",-0.033
2376,"Why post this? If you bought 250 puts last week and sold this week you took a MASSIVE loss. And you should have known it was headed up Friday due to the April 26, $230 call option activity. If you were going to buy June 21, 250 puts as a speculation buy, the best time to purchase this is Monday at the open.",0.9098
2377,LOL! Well take a looky at that Pre-Market!,0.7375
2378,"Bernie Sanders . . . . . BS for president?Yep, bs is what we’d get.",0.0551
2379,Sanders must rest in peace.,0.827
2380,Good time to get in when it is in deep red. I like the price.,0.4906
2381,PE too high,0.4717
2382,SELL SHORT NOW NOW NOW NOW,-0.3556
2383,Yesterday intraday low of 208 and closed back to almost 216 on BIG volume. Added shares yesterday and will continue.,0.1547
2384,"one step ahead, 3 steps back. This is fd up",0.1811
2385,YES YES YES YES YES GO DOWN,0.8893
2386,UNH will probably go to $180.,-0.0535
2387,Thanks Bernie. And for your next trick you will say that American car companies cause disease.,0.7248
2388,why the jump today?,0.3244
2389,Democrats going to get rid of UNH insurance companies that are killing health costs,-0.6844
2390,buy unh stock - check out the data read all the news on yahoo about unh stock - https://prwired.net/2019/01/06/unitedhealth-unh-technical-analysis/,0.7481
2391,215 a cometh,0.0
2392,UnitedHealth is up 7.43% to 345.23,0.1818
2393,who are lucky getting in at 232? amazed by the hype from amazon junk,0.1808
2394,"Going to 220 by Friday, easy short",0.0107
2395,looks like i should buy after ER not beforeyou never know!!,0.8081
2396,Looks like same old pattern we just had in early November NOV. 7th gap up next day up a little more while the market was down than dropped back down to fill the gap. NOV 28th gap up today up a little more and now gap looms large to be filled.,0.1408
2397,"Who is selling this? The panicked sell low, buy high crowd.",-0.3506
2398,This is why its down $5 today. UnitedHealth Cut to Neutral From Buy by Citigroup,-0.2165
2399,"Single payer will never happen because first of all 1) no one wants to pay extra tax 2) our government is broke3) Americans are too damn spoil to have a 2nd class healthcare for all4) government can’t manage as always5) are all doctors, nurses, pharmacists, hospitals, dentists, drug companies ready for major cutbacks in salaries & possibly loss of jobs???? & Say goodbye to many future life saving drugs because why invest millions when government dictate drug price. There are so many negative & damaging consequences to our way of life just to help very small group of people have insurance but don’t want to pay or take responsibility. That’s why it will never happen. Good luck longs!!!",0.8767
2400,"You guys aren't worried about amazon, jp m and warren buffet coming after healthcare ?",0.7116
2401,Unh the most reliable stock around it will never let you down.,-0.0893
2402,told ya,0.0147
2403,Cover it now? It's moving up quickly,0.461
2404,Cramer said Friday this company will have an excellent earnings,0.6752
2405,"Come on now, let's get this in the green. Otherwise Bernie will be handing out free boobjobs and hair replacement.",0.6122
2406,Morgan sees $529 as a possibility. Can’t begin to tell you what that would mean .......let’s just say I won’t have to consider a cat food diet,0.2327
2407,"Just MM shorting to be able to cash in on all the calls they sold last Friday as they will all expire worthless Thursday. (Market closed Friday)You'll see this moving back up nicely next week. A lot of retail investors jumping ship, DONT, just stop watching UNH for the rest of today.",0.9258
2408,Nice bear raid today,0.5865
2409,Who here is happy with UNH's 4+% gain this week?Show your happiness...Yeah!!!,0.8487
2410,Hard to believe this hit $250 premarket.,-0.0519
2411,Want to close above 240 today!!!,0.5475
2412,If u own this stock please watch Bernie Sanders Fox News town hall. I think the sell off intensified after that debate. Just watch it then make ur own choice to sell or hold,0.8724
2413,should i hold unh for next week? or sell of on Monday?,0.2412
2414,Is this stock still a buy at this price?,0.4412
2415,$UNH reports dividend increase of 30% in agreement with the board. Buyback increase still pending approval**** Breaking*****,0.8798
2416,"Just wonder the call 220 opened interest is still 4800 contracts, I don't get it, buyer is going to exercise the call or wait till the end to close it. This is a new thing i will learn. UNH has history to keep until the last day almost to the close, then pop up, last year.",0.8076
2417,Whoever does not take advantage to buy CI and CNC may be sorry to miss the best chance to own good stocks.,0.8833
2418,"It matters not what the Democrats may come up with as far as impeachment of the President. The House has proven that with the vote last week. The Republicans are solid behind DT even if he is guilty of an impeachable offense. Give it up, DT will be president for another 4 years in 2020. The Democrats haven't got a clue as to how to gain the majority of voters. Elizabeth Warren is in her own world as far as what she is promoting. The average American will not vote for her. To far to the left. Sorry Democrats. You will keep the House but not the Senate. There will be more Supreme Court Justices appointed by DT during his second term. A generation of super conservatives will control the court until mid century at least.",0.9817
2419,"Come on $410, say hello.",0.0813
2420,"So, what is so different today than yesterday, that warrants it going up instead of down? It's all complete BS.",-0.0342
2421,"UNH will be $185 on Monday 3/23 close. By Friday 3/27, it will be $160.",-0.1423
2422,Buttigieg won IA...,0.5719
2423,this was at 215 just 2 days ago..,0.1232
2424,nice,0.4215
2425,"I saw this dip to 285 and change around 7:30 PM in after hours last evening after the Iranian missile strike, and thought it might be a good entry point, but now that we are back to near 295, I'd rather short again (I exited my short on Friday at 289.50). Still waiting to see where it goes today.",-0.5328
2426,ETF are likely triggering automatically ROBO selling as it hits lows off 200 DMA. Anthem getting slammed huge volumes on both traded.,-0.1941
2427,Down almost $5. Huh?,-0.2434
2428,Go down more so manipulators could make more money,-0.2016
2429,It is a good time to get UNH long term accumulation. I don't see any good reason not to buy UNH at depressed price like this. My dad told me to buy the good stock when everybody panics.,0.9372
2430,UNH reached a new All Time High at 262.35,0.3954
2431,Yes!!,0.508
2432,This stock is still a strong company but the stock is broken on left wing fears.,-0.6705
2433,Good entry now because XLV shoot up through the roof.,0.4043
2434,"It is so funny, yesterday there is no clue for everybody to pull the plug from health care sector at all, but it did. Today it is suppose UNH will go down to the toilet, all of the sudden, everybody see the value of it. I dream of UNH going up to test 260 by the ned of the month, because I don't see any weak point at all.",0.8613
2435,UNH down almost 5% YTD. No real reason other than all the talk about healthcare for all. All the democratic candidates have hit on some form of healthcare for all. The thoughts are not well formed and will run into big problems when looked at more deeply. A great idea but the existing system will fight it with all their strength and money. Good luck with that one.,0.9525
2436, mood,-0.017
2437,"Almost 2 points in two days, I don't think it is the time to accumulate this stock because the market keeps going up everyday. I just guess the market may pull back in the short term, then you can dip in.",0.4939
2438,"I honestly don't see how this is not a long term buy at this price. The weakness can be blamed on the medication price pressure from the government, but this is not a new issue, and existed at the all time highs. While I do not place much faith is analysts price predictions, this is currently running at nearly $50 a share average analyst upside. It has nearly $100 per share upside from the most bullish analyst. Healthcare is only needed more in the future, as Americans continue to eat fast food, drink/smoke, and put carcinogenic cell phones against our heads at a higher clip. Advancing technology will allow us to live longer, while using healthcare as a crutch like never before. Count me in as a buyer, ready to average down if needed.",0.9924
