,Recent headlines and conversations for DAL,Polarity
3685,"Over 80% of the world's population has never stepped foot on a plane, think of the upside potential Delta has as they get into more and more markets. The US is just the tip of the iceberg. Flying is the safest and fastest way to travel. At these low valuations I am buying a great deal of Delta stock they are very well positioned to grow in the future.",0.9428
3686,"1,277,719. TSA checkpoint travel numbers. Things that make you go hum!",0.1438
3687,"CDC told the governors be facility-ready for corona19 vaccines mass distributions on Nov 1st, added mire DAL will fly to the moon folks...",0.1015
3688,I called $26 by Friday. Let's see. Hopefully I'm wrong and it hits $30 ;-),0.2587
3689,"I like Delta, they bought a refinery in Pennsylvania and saved a friends job. Think they should worry about filling their flights and getting passengers to their destinations safely and on time. Why alienate potential customers. You’re in business not politics. Are they going to guarantee my share price if they lose business because of their position on the new voting laws?",0.9238
3690,Jason lost his house this morning.....,-0.3832
3691,"airlines are essential for business purposes. people can't drive across country for team meetings or conferences. However, I think the price could go lower a bit after Q2 earnings report.",0.1731
3692,Trump saves Delta: https://giphy.com/gifs/dance-lol-trump-2uI8XF2T6UT4vaFVEM,-0.1025
3693,"DAL will do just fine. It may need a loan, but will come back even stronger and more profitable. $80 by year end.",0.8353
3694,Good morning! By midnight this evening......DAL will be down another $40 million!,0.8013
3695,"TSA passenger count continues to slowly favorably increase, but July 2020 is still only 27.1% of (72.9% less than) July 2019. Yesterday (Wed Jul 8th) grew over last week (Wed Jul 1st) but only by 0.6 points (+1%).TSA Passenger Count by month:2020 Mar: 48.3% of 2019 Mar2020 Apr: 4.7% of 2019 Apr2020 May: 9.6% of 2019 May2020 Jun: 18.9% of 2019 Jun2020 Jul: 27.1% of 2019 JulTSA Passenger Count for last 7 days:Wed Jul 8: 25.1% of same day in 2019. +0.6 points (+1%) versus same day last week in 2020.Tue Jul 7: 25.6% of same day in 2019. +4.3 points (+28%) versus same day last week in 2020.Mon Jul 6: 27.5% of same day in 2019. +2.0 points (+21%) versus same day last week in 2020.Sun Jul 5: 26.2% of same day in 2019. +2.1 points (+16%) versus same day last week in 2020.Sat Jul 4: 19.9% of same day in 2019. -3.2 points (-15%) versus same day last week in 2020.Fri Jul 3: 32.9% of same day in 2019. +9.7 points (+14%) versus same day last week in 2020.Thu Jul 2: 36.6% of same day in 2019. +13.6 points (+23%) versus same day last week in 2020.$DAL $LUV $UAL $AAL $ALK $SAVE $JBLUhttps://www.tsa.gov/coronavirus/passenger-throughput",-0.9538
3696,after every doom day is a boom day.think strong! think long!,0.7293
3697,"Wow, wait til you hear what Powell has to say!",0.7803
3698,Buffett bought into airlines too late and now he sells at the bottom. Time to step down.,-0.2653
3699,"Dooley noted that there are consequences for Delta’s decisions to engage in extremist political actions against the NRA and the Second Amendment. Until Delta withdraws its attacks on the Constitution and reinstates its relationship with the NRA, Dooley says, it is unlikely that any Republicans in the Georgia State Senate could in good conscience give it this ($40 million/year) tax break.",-0.4701
3700,look past Q2 which will be bad for every company and buy the dip. DAL is 50% under valued.,0.0933
3701,"Thanks for this dip, I thought I missed the take-off of airlines",0.3685
3702,What happen to delta?,-0.0616
3703,Maybe now airlines will be built with humans in mind. Seats will be far apart from each other and now you will be able to stretch your arms. Good idea!,0.7387
3704,I still feel DAL and UAL are the best of the bunch and it was proven with their CC's.,0.6905
3705,"Some perspective on the climb back to 47 billion (2019 high) in revenue....Load factor was roughly 85%. Net margin was roughly 10%. 637 million shares outstanding. 2020 was 17 billion in revenue. 2021 maybe 35 billion, and we see a profit of $2-3/share. 2022 maybe 45 billion. So it is possible by the end of 2021 we are looking at a 2022 FWD PE of 12-14 times. Not bad, but the debt service will hurt the cash flow for the next few years.",-0.3737
3706,this week going to be sweet for Delta more travellers going out as they get the vaccine,0.8756
3707,Got to think. This might be a deploy. Didn’t Ed come out of retirement to manage the COVID crises. So why not go out with a bang. What else would drive this stock crazy. Ed leaving the company. I see 59 to 60 bucks a share coming.,0.6556
3708,"I won’t be selling airline stocks,” he told Yahoo Finance editor-in-chief Andy Serwer this week.According to recent filings with the Securities and Exchange Commission, Buffett’s Berkshire Hathaway (BRK-A, BRK-B) holds large stakes in several airlines: more than 53 million shares of Southwest (LUV), 42 million shares of American (AAL), 21.9 million shares of United (UAL), and 71.8 million shares of Delta (DAL) after buying almost a million",0.9597
3709,nice more positive news and upgrade. I'll prob cash out when we return to its highs,0.8459
3710,"Very nice pop yesterday in the travel numbers. First time over 40% of last year's travel number since March 17th.Date 2020 2019 Comp Day of Week8/23/2020 841,806 2,493,162 33.8% Sunday8/24/2020 726,788 2,358,007 30.8% Monday8/25/2020 523,186 2,015,088 26.0% Tuesday8/26/2020 540,043 2,188,688 24.7% Wednesday8/27/2020 721,060 2,561,109 28.2% Thursday8/28/2020 738,873 2,658,558 27.8% Friday8/29/2020 591,734 1,954,902 30.3% Saturday8/30/2020 807,695 1,887,845 42.8% Sunday",0.332
3711,Added another 5k yesterday with total 15k shares now. I will hold till it goes past $40,0.4581
3712,I’m buying more at open regardless. Recoveries and reopening came in so FAST! This stock is still undervalued,0.35
3713,I am rooting for TSA number to hit record high of 600K by this Sunday.,0.4382
3714,"Let's break the 9 day green, red streak. Green tomorrow does it. Tech like MU and AMD on fire, let's climb Delta.",-0.0919
3715,"Staying above $32 is evidently our current hurdle. Investor confidence should be higher across the board. 1,000 new flights is a lot of movement by comparison to the last four months. I believe once we pass $32 - $33 we're golden unless something else unfortunate happens.",0.8297
3716,Any dip here is a great buying opportunity,0.8703
3717,Delta CEO announced that their company depends on business travel and without it they are doomed. GLTA!,-0.0862
3718,I work for a global company our CEO canceled all business trips to all employees and now all meetings with customers will be done online. I am sure most large companies will eliminate these type of trips.Business trips usually fly higher class which is a huge portion of income for most airlines. I expect this entire year will be extremely bad for airline.The stocks will go up and down only due to the daily news. The only hope is the vaccine which best case of will be found and available late 2021.If you are long sure you can buy and wait a few years but I truly believe we will be between 18-30 for a while.GLTA,0.9463
3719,"In order to make flying safe again airports should be equipped with Elevated temperature scan. here is an example made by FLIR Systems The FLIR A320 Tempscreen camera is preconfigured for monitoring individuals and groups of people to find temperature deviations or elevated body temperature, including difference temperature alarms with a dynamically updated reference temperature. This temperature measurement solution offers built-in analysis, alarm functionality, and autonomous communication using standard protocols.",0.8674
3720,"Earnings in another day. More important than the Q1 earnings...Management discussions and analyst questions. I would expect by Thursday close (Friday market is closed), we are looking at sub 20 or 25+",-0.1705
